tgas_row,tgas_ra,tgas_dec,tgas_distance,gx,gy,gz,tgas_glon,tgas_glat,tgas_gmag,hip,tyc,hip_tyc_id,source_id,tmass_j
372423,231.92341119082403,59.98703931384884,112.45652174595475,-6.535628442958873,75.29525034038248,83.27292549342256,94.96083726988904,47.773168283199894,10.793799692385937,,b'3875-762-1',TYC 3875-762-1,1615219483562037376,9.479000091552734
364066,201.21590416400662,54.89743345534105,90.09162094323395,-16.636267121691453,39.533664824194204,79.226410533378,112.82197285899025,61.56985326097254,7.513428224931772,,b'3850-257-1',TYC 3850-257-1,1563586795479902208,7.00600004196167
366159,195.81946871686043,57.31520728742641,97.85427865436844,-24.476243959737655,42.80769011252618,84.52144698134384,119.75971517466884,59.74005797611802,8.93999811396262,63702.0,b'',HIP 63702,1577006815932416128,8.032999992370605
372563,226.31493415210625,60.70687575428067,107.09973770420557,-10.108285678481197,68.74450761836792,81.50073036028571,98.36490350220713,49.55064431779085,11.411026733841151,,b'4180-573-1',TYC 4180-573-1,1616063564895405824,9.682000160217285
363861,203.53029951876837,55.34840972032055,94.50985080027465,-16.1743141379819,43.274098751686346,82.44911059365862,110.49394747301855,60.73715067238556,5.649431483337512,66198.0,b'',HIP 66198,1562168837795747840,5.599999904632568
383447,212.72088043819542,62.522196453459834,103.6007801474373,-19.695196333614085,60.28050302448462,81.92363421902823,108.09354829452239,52.25684379860651,8.179879259334832,69275.0,b'',HIP 69275,1667489888389668480,7.482999801635742
369113,231.20861821473432,51.21024549330668,104.4440567883212,7.405027547882531,63.242519806890165,82.78955401433365,83.32167921945516,52.435626444764495,8.714247244524714,75449.0,b'',HIP 75449,1595598251887945728,7.855000019073486
363738,207.11420052151738,54.04269857737966,93.59062477210026,-12.093300189655174,43.56136366179217,81.94732900882153,105.51546549368754,61.115275045556,10.72472079520496,,b'3851-600-1',TYC 3851-600-1,1561366778423093248,9.432999610900879
370895,222.52354858208278,53.63482793904055,104.20045528307521,-1.6249265046090828,58.75436393743058,86.04079970201771,91.58418165179819,55.661944904780974,10.042122032607177,,b'3861-1374-1',TYC 3861-1374-1,1606191324867523200,8.944000244140625
371770,216.29629511002784,57.63320944773004,104.85570749825737,-11.345135314687514,58.58345075376931,86.22056945666866,100.96009617847056,55.313510095977215,9.487084861947242,,b'3865-934-1',TYC 3865-934-1,1611371845699784704,8.62600040435791
363746,206.6484370344111,54.43265889996727,97.71010261157069,-13.403287104166573,45.61048090687346,85.36568443239172,106.37617194347109,60.88711268811808,5.722787901238199,67231.0,b'',HIP 67231,1561439689788561664,5.706999778747559
371172,214.62966134274689,52.0333078701857,99.7009122337505,-4.8162116306765705,49.28062645720008,86.53609571592926,95.58180778955884,60.22207905683911,6.907647256054961,69917.0,b'',HIP 69917,1607844440599186944,6.591000080108643
338405,241.78393593929906,49.08308006700162,114.15999406670963,17.748402136531727,76.27975010427501,83.05960625322331,76.90174399809506,46.68322369744526,7.57037953110855,78958.0,b'',HIP 78958,1400123054612290688,7.160999774932861
369255,232.8091513194321,53.46012791942012,107.85671840840116,4.884203394815204,68.30705787168108,83.32683906126542,85.91010123819322,50.58521442968868,11.250093631673613,,b'3869-656-1',TYC 3869-656-1,1596427936490071168,9.920999526977539
371304,214.7328403664159,54.863760283296074,104.20396386582836,-8.681736949726021,54.501993381419275,88.38906180256895,99.05072335033422,58.01981034083794,6.452846085367728,69958.0,b'',HIP 69958,1608752431045679360,6.10699987411499
338921,238.64981419671852,49.3954512029279,112.42918289522345,15.370595546994117,72.7481076887657,84.33136300761467,78.06971225183035,48.5976788557891,9.728822811988966,77903.0,b'',HIP 77903,1403082905554626048,8.831999778747559
339178,237.9241089790597,52.306308438003235,118.18983106973394,10.340704622349293,78.13639977269837,88.07161305872985,82.46118450952854,48.17377234912515,11.2291394520238,,b'3496-1082-1',TYC 3496-1082-1,1404488390652463872,9.895000457763672
339053,240.5100886910584,51.33533210517061,119.74920002775956,13.661276824389518,80.61494212628917,87.48983671713428,80.38183938672425,46.93746788027921,11.076083206129983,,b'3497-1053-1',TYC 3497-1053-1,1403763984288464768,9.831999778747559
372096,226.27980067908564,57.512695860931075,119.67639441807562,-5.827618658765104,74.12043410586209,93.77973922781705,94.49555217526014,51.59239348817989,11.050959173472098,,b'3867-2-1',TYC 3867-2-1,1613194114424273280,9.479999542236328
363433,205.97811841576564,52.06439050559177,93.4775745388191,-10.849699127428968,40.74312356158918,83.42864527816465,104.91154483657112,63.18897255963723,6.050999294222411,67005.0,b'',HIP 67005,1559292481018181632,5.953000068664551
371817,214.07256472125366,58.389401861569496,107.48381626399589,-14.160021692812938,59.35809457605543,88.48096491693315,103.41728620552735,55.40668913712325,8.402097131311141,69721.0,b'',HIP 69721,1611685687553578752,7.697999954223633
